activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,616604,[],CHEMBL766860,"Inhibition of Protein kinase B, Akt-1",B,,,BAO_0000190,BAO_0000357,single protein format,Cn1ccc2ccc3c4[nH]c5c(CCCN[C@H]6CC[C@H](O)CC6)cccc5c4c4c(c3c21)C(=O)NC4=O,,,CHEMBL1136094,Bioorg. Med. Chem. Lett.,2003.0,"{'bei': '10.64', 'le': '0.19', 'lle': '0.58', 'sei': '5.31'}",CHEMBL307152,,CHEMBL307152,5.26,False,http://www.openphacts.org/units/Nanomolar,130093,=,1,True,=,,IC50,nM,,5480.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,uM,UO_0000065,,5.48
,750633,[],CHEMBL766866,Inhibition of Protein kinase B (Akt-1),B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,,,CHEMBL1148336,J. Med. Chem.,2004.0,,CHEMBL115220,,CHEMBL115220,,False,http://www.openphacts.org/units/Nanomolar,215208,>,1,True,>,,IC50,nM,,10000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,10000.0
,953939,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(C(=O)O[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '16.36', 'le': '0.31', 'lle': '5.43', 'sei': '6.54'}",CHEMBL3216643,,CHEMBL281464,8.30,False,http://www.openphacts.org/units/Nanomolar,44257,=,1,True,=,,IC50,nM,,5.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,5.0
,962852,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(/C=C/[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '13.88', 'le': '0.26', 'lle': '2.82', 'sei': '6.76'}",CHEMBL1204095,,CHEMBL283457,6.80,False,http://www.openphacts.org/units/Nanomolar,44261,=,1,True,=,,IC50,nM,,160.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,160.0
,964153,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '13.07', 'le': '0.24', 'lle': '3.22', 'sei': '5.88'}",CHEMBL1202525,,CHEMBL28982,6.45,False,http://www.openphacts.org/units/Nanomolar,44259,=,1,True,=,,IC50,nM,,355.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,355.0
,965573,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(C(=O)N[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '16.58', 'le': '0.31', 'lle': '5.95', 'sei': '6.48'}",CHEMBL1202518,,CHEMBL430530,8.40,False,http://www.openphacts.org/units/Nanomolar,44258,=,1,True,=,,IC50,nM,,4.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,4.0
,969291,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(NC[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '9.34', 'le': '0.17', 'lle': '1.22', 'sei': '4.09'}",CHEMBL1204097,,CHEMBL28873,4.60,False,http://www.openphacts.org/units/Nanomolar,44262,=,1,True,=,,IC50,nM,,25000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,uM,UO_0000065,,25.0
,977961,[],CHEMBL766409,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(O)c(C(=O)c2ccc(CN[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl,,,CHEMBL1149095,J. Med. Chem.,2004.0,"{'bei': '11.21', 'le': '0.21', 'lle': '2.71', 'sei': '4.91'}",CHEMBL1202519,,CHEMBL281973,5.52,False,http://www.openphacts.org/units/Nanomolar,44260,=,1,True,=,,IC50,nM,,3000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,uM,UO_0000065,,3.0
,1006296,[],CHEMBL874644,Inhibition of PKBalpha (Akt1) ser/thr kinase.,B,,,BAO_0000190,BAO_0000357,single protein format,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,,,CHEMBL1134322,J. Med. Chem.,2001.0,,CHEMBL141247,,CHEMBL141247,,False,http://www.openphacts.org/units/Nanomolar,274991,>,1,True,>,,IC50,nM,,10000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,uM,UO_0000065,,10.0
,1173967,[],CHEMBL768270,Inhibition of Protein kinase B alpha,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,,,CHEMBL1136753,J. Med. Chem.,2003.0,,CHEMBL281957,,CHEMBL281957,,False,http://www.openphacts.org/units/Nanomolar,39786,>,1,True,>,,IC50,nM,,1000.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,uM,UO_0000065,,1.0
,1421462,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '12.76', 'le': '0.23', 'lle': '-0.33', 'sei': '9.74'}",CHEMBL260397,,CHEMBL260397,6.53,True,http://www.openphacts.org/units/Nanomolar,365301,=,1,True,=,,IC50,nM,,295.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,295.0
,1421465,[],CHEMBL832702,Inhibitory concentration against Akt1 kinase,B,,,BAO_0000190,BAO_0000357,single protein format,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,,,CHEMBL1141976,Bioorg. Med. Chem. Lett.,2005.0,"{'bei': '13.12', 'le': '0.24', 'lle': '0.92', 'sei': '7.58'}",CHEMBL258844,,CHEMBL258844,7.24,True,http://www.openphacts.org/units/Nanomolar,365306,=,1,True,=,,IC50,nM,,58.0,CHEMBL4282,Homo sapiens,Serine/threonine-protein kinase AKT,9606,,,IC50,nM,UO_0000065,,58.0
