,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,CHEMBL115220,O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)n[nH]1,inactive,291.354,3.621500000000001,2.0,2.0,5.0
2,CHEMBL3216643,COc1ccc(O)c(C(=O)c2ccc(C(=O)O[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,active,507.51800000000026,2.8733000000000013,3.0,8.0,8.301029995663981
3,CHEMBL1204095,COc1ccc(O)c(C(=O)c2ccc(/C=C/[C@@H]3CCCNC[C@H]3NC(=O)c3ccncc3)cc2)c1F.Cl,active,489.54700000000014,3.9773000000000023,3.0,6.0,6.795880017344075
4,CHEMBL1202525,COc1ccc(O)c(C(=O)c2ccc(CO[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,active,493.5350000000002,3.233100000000002,3.0,7.0,6.449771646944906
5,CHEMBL1202518,COc1ccc(O)c(C(=O)c2ccc(C(=O)N[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl.Cl,active,506.5340000000003,2.4463,4.0,7.0,8.397940008672037
6,CHEMBL1204097,COc1ccc(O)c(C(=O)c2ccc(NC[C@@H]3CCCNCC3NC(=O)c3ccncc3)cc2)c1F.Cl,inactive,492.5510000000002,3.3760000000000012,4.0,7.0,4.6020599913279625
8,CHEMBL141247,O=C(Nc1ccccn1)Nc1cccc2c1[C@H]1CCCN1C2=O,inactive,308.34100000000007,3.016300000000001,2.0,3.0,5.0
9,CHEMBL281957,CCN(CC)C/C=C/c1nc(O)c2c(ccc3nc(Nc4c(Cl)cccc4Cl)n(C)c32)c1C,active,484.4310000000002,6.540920000000006,2.0,6.0,6.0
10,CHEMBL260397,Oc1nc2ccccc2n1C1CCN(Cc2ccc(-c3nc4ccccc4nc3-c3ccccc3)cc2)CC1,active,511.6290000000002,6.8562000000000065,1.0,6.0,6.530177984021837
11,CHEMBL258844,O=c1[nH]c2ccccc2n1C1CCN(Cc2ccc(-c3nc4cc5[nH]cnc5cc4nc3-c3ccccc3)cc2)CC1,active,551.654,6.320200000000006,2.0,6.0,7.236572006437063
12,CHEMBL178397,Cc1nc(-c2ccc(CN3CCC(n4c(=O)[nH]c5ccccc54)CC3)cc2)c(-c2ccccc2)[nH]c1=O,active,491.5950000000002,4.892420000000004,2.0,5.0,6.119186407719209
